Date,Open,High,Low,Close,Adj Close,Volume
2023-09-21,6800.000000,6875.000000,6650.000000,6700.000000,6411.467773,14277900
2023-09-22,6700.000000,6800.000000,6700.000000,6775.000000,6483.237793,8640500
2023-09-25,6800.000000,6825.000000,6700.000000,6775.000000,6483.237793,10989900
2023-09-26,6775.000000,6800.000000,6700.000000,6700.000000,6411.467773,8020900
2023-09-27,6700.000000,6775.000000,6650.000000,6750.000000,6459.314453,6313500
2023-09-29,6750.000000,6775.000000,6625.000000,6625.000000,6339.697266,10802800
2023-10-02,6625.000000,6800.000000,6625.000000,6750.000000,6459.314453,6077200
2023-10-03,6750.000000,6825.000000,6725.000000,6725.000000,6435.391113,8195600
2023-10-04,6725.000000,6775.000000,6675.000000,6750.000000,6459.314453,10500800
2023-10-05,6775.000000,6975.000000,6725.000000,6875.000000,6578.931152,15362100
2023-10-06,6925.000000,7100.000000,6850.000000,6875.000000,6578.931152,11936900
2023-10-09,6900.000000,6925.000000,6800.000000,6850.000000,6555.007813,6425200
2023-10-10,6900.000000,6950.000000,6800.000000,6800.000000,6507.161133,4329100
2023-10-11,6825.000000,6900.000000,6750.000000,6750.000000,6459.314453,14465700
2023-10-12,6750.000000,6850.000000,6725.000000,6725.000000,6435.391113,7306700
2023-10-13,6750.000000,6775.000000,6700.000000,6700.000000,6411.467773,3865100
2023-10-16,6700.000000,6775.000000,6675.000000,6725.000000,6435.391113,6263100
2023-10-17,6750.000000,6850.000000,6725.000000,6850.000000,6555.007813,6085400
2023-10-18,6850.000000,6850.000000,6750.000000,6800.000000,6507.161133,6339600
2023-10-19,6800.000000,6800.000000,6700.000000,6750.000000,6459.314453,8549100
2023-10-20,6725.000000,6750.000000,6650.000000,6675.000000,6387.544434,4622200
2023-10-23,6700.000000,6725.000000,6600.000000,6600.000000,6315.773926,6392900
2023-10-24,6600.000000,6800.000000,6600.000000,6725.000000,6435.391113,5377200
2023-10-25,6725.000000,6825.000000,6725.000000,6750.000000,6459.314453,3305700
2023-10-26,6750.000000,6825.000000,6625.000000,6750.000000,6459.314453,13444300
2023-10-27,6750.000000,6800.000000,6700.000000,6750.000000,6459.314453,3881200
2023-10-30,6750.000000,6775.000000,6625.000000,6725.000000,6435.391113,7559900
